	PC1	PC2	PC3	PC4	PC5
3001439979-DNA	-6.024032591585519	4.21905001297883	4.454679345524154	1.8426716509221917	3.661392184717926
3001226011-DNA	-10.593118911307	4.501962419723647	-0.9423112452553266	5.724171372768492	-1.1528300039645103
3001172132-DNA	-2.4204232812192106	1.19332034103549	-1.4838567517411454	10.779381521300202	11.290486978435586
3001384560-DNA	3.8243352595717424	-5.705616905712598	-2.573093566274248	0.6647103132084144	9.583143500651843
3001093757-DNA	8.357991790626052	8.575499209238808	-0.7119627545123374	6.191300967224028	-1.2262125183288806
3001421330-DNA	-1.2009912668093736	2.0108232366756713	9.901059952936084	6.156973677688521	1.6413794220344153
3001092258-DNA	9.452034589456975	2.0955994484693643	-14.117014349974584	-1.8731586438560535	4.956330072037994
3001099234-DNA	2.0845888311046736	1.3302067713781638	5.18335642782747	-8.758475621689078	-0.07457683309760357
3000881385-DNA	-5.885462268060161	-0.15758486989721132	-4.06603364724467	-1.960805084736086	-3.761057444416205
3001177411-DNA	-9.216165237660606	6.126805642046758	10.63507249424087	-2.8586542320363093	-6.467613462275429
3000867642-DNA	1.4022031086919253	6.216878274189089	-9.191642441826447	5.3958149399689965	-1.741930691771622
3001053907-DNA	-4.544053929152968	-4.097851423896287	-6.1599413016785345	2.346907316038848	-1.508852508867725
3001448383-DNA	-3.8204578367891964	-0.3383534589656381	3.7166827392342343	-4.538705572078941	3.067633996439933
3001368277-DNA	7.844739315057266	4.969204789514715	5.399748574381908	9.080972336916492	-8.618569483437255
3001322433-DNA	-10.361568046981677	-0.595415630638809	0.378455068765164	-5.047629619481911	-0.10853773899875584
3001102451-DNA	0.4828483923414443	-8.125030855386695	4.89869348790664	3.8211941912322396	6.415276820576164
3001175177-DNA	-10.338626734510562	-7.940319473035512	-3.2803956170420068	0.39523260887246864	1.609763240929067
3001369346-DNA	-8.990977071119953	8.486740500110532	6.000138899200929	5.558706021195805	-7.180084144810114
3001439963-DNA	-1.3025806108164535	-4.408139791213879	2.2970741281712392	0.362064408090275	5.700173031023152
3001180268-DNA	7.244853239022215	2.9765690389662947	3.691548965848584	-10.117700650803553	-3.6248155217375344
3001168533-DNA	17.05368237852787	-3.4593237937566848	0.931578463816893	-6.967531221144561	0.6335995476787155
3001328919-DNA	-7.022037102729742	-5.675770715405368	0.8286183699189414	1.2453545578603709	-4.72495925357003
3001172116-DNA	-0.7858328227667949	-1.435934240689008	6.443900144032165	5.1611096835899515	7.99621058384239
3001425865-DNA	3.3827738962645015	0.03373315710552402	7.218213569982644	2.312245367552312	-6.886403259283226
3001060880-DNA	-12.896385614919689	1.1492600752777207	-0.034973522054793815	-2.5489901997488014	8.343811517059391
3001368269-DNA	1.917722478742372	3.3953961042890457	1.6998951977302257	3.496913182921386	-0.0725895265320705
3000886299-DNA	-1.8661831101482884	-9.729905705670992	-5.473230806569538	0.459894108819639	1.5246081544860695
3001175224-DNA	-13.797985790048152	7.160627149806847	6.550741993604433	-2.264275086712491	-3.8890048929082393
3001344067-DNA	13.001003861395157	0.8852353284597806	4.750463021330125	-6.35870328301519	3.382023094000921
3001053940-DNA	2.1484333604003822	15.22118792770425	-1.8729597467744483	-0.15561831649004226	-0.854413958043034
3001180259-DNA	15.203803096053894	-9.419759778350063	7.479343697614881	13.626737261869497	4.491640998467902
3000886263-DNA	6.914602776571226	11.062142934753757	-5.1348490466387915	-3.286149263576198	8.876217024298457
3001172786-DNA	-10.705068293428656	-1.6070125931399037	5.328904607547215	-3.9556667658425084	7.483505837523928
